"","id","tddist_f","dddist_f","tddist_s","dddist_s","tddist_o","dddist_o","n_features1","n_features2","n_features3","n_features4","n_strokes1","n_strokes2","n_strokes3","n_strokes4","total_features","total_strokes"
"85",221,4.95,4.95,1.14,1.38,4.67,4.67,0,27,0,20,0,1,2,2,47,11
"86",222,4.95,4.95,1.38,1.14,4.67,4.67,0,30,0,20,0,1,1,2,50,11
"87",223,4.95,4.95,1.14,1.38,4.67,4.67,0,12,0,20,0,0,2,2,32,8
"88",224,4.95,4.95,1.38,1.14,4.67,4.67,0,9,0,20,0,0,1,2,29,8
"89",231,5.16,5.66,2.34,2.83,5,4.67,5,16,1,11,1,3,1,1,33,6
"90",232,4.95,5.87,2.46,2.65,5,4.67,1,16,1,11,1,3,0,1,29,6
"91",233,5.95,4.87,1.82,2.4,4.33,5.33,13,11,0,11,0,3,1,1,35,6
"92",234,5.58,5.24,1.82,2.4,5,4.67,7,11,1,11,0,3,1,1,30,7
"93",241,5.26,5.14,1.33,2,4,4.33,4,5,10,7,0,0,0,3,26,6
"94",242,6.42,3.98,1.33,2,4,4.33,17,2,3,7,0,0,0,3,29,7
"95",243,4.56,5.85,1.33,2,4,4.33,1,14,13,7,0,4,0,3,35,9
"96",244,4.56,5.84,1.33,2,4.67,3.67,1,13,13,7,0,4,0,3,34,9
"97",251,6.73,6.52,NA,NA,NA,NA,1,32,0,2,NA,NA,NA,NA,35,8
"98",252,6.52,6.73,NA,NA,NA,NA,2,38,6,2,NA,NA,NA,NA,48,7
"99",253,6.6,6.64,0,1,5,6,4,22,6,2,0,0,0,0,34,NA
"100",254,6.64,6.6,0,1,5,6,5,24,6,2,0,0,0,0,37,NA
"101",261,4.63,4.63,1.33,2,4.67,4.67,0,14,0,36,0,2,0,3,50,11
"102",262,4.63,4.63,1.33,2,4.67,4.67,0,14,0,36,0,2,0,3,50,11
"103",263,4.63,4.63,1.33,2,4.67,4.67,0,26,0,36,0,2,0,3,62,13
"104",264,4.63,4.63,1.33,2,4.67,4.67,0,26,0,36,0,2,0,3,62,13
"105",271,3.72,4.21,0.8,1.38,2.67,3.67,0,2,7,22,0,0,1,2,31,7
"106",272,4.51,3.41,1.52,1,4,2.33,5,2,2,22,1,0,0,2,31,8
"107",273,3.63,4.29,0.8,1.38,2.67,3.67,0,12,7,22,0,0,1,2,41,8
"108",274,3.99,3.93,1.24,1.41,3.33,3,2,12,5,22,1,0,1,2,41,7
"109",281,8.41,6.23,1.14,1.38,3.33,4,39,0,0,2,0,0,1,4,41,8
"110",282,6.99,7.64,1.38,1.14,4.67,2.67,16,11,7,2,1,0,1,4,36,6
"111",283,7.25,7.38,1.38,1.14,3,4.33,20,4,7,2,0,1,0,4,33,7
"112",284,6.61,8.02,1.14,1.38,3.67,3.67,8,15,7,2,0,1,1,4,32,8
"113",291,4.16,5.56,NA,NA,NA,NA,1,1,30,10,0,0,0,0,42,NA
"114",292,4.16,5.56,NA,NA,NA,NA,2,1,31,10,0,0,0,0,44,NA
"115",293,7.02,2.7,NA,NA,NA,NA,15,4,3,10,NA,NA,NA,NA,32,8
"116",294,4.1,5.62,NA,NA,NA,NA,0,4,32,10,0,0,0,0,46,NA
"117",301,6.56,4.23,0.67,1,3,2.67,21,0,7,7,0,1,0,4,35,7
"118",302,5.03,5.76,0.67,1,3.33,2.33,4,0,14,7,0,0,0,4,25,6
"119",303,5.58,5.21,0.67,1,3,2.67,17,0,19,7,0,1,0,4,43,8
"120",304,4.41,6.38,0.67,1,2,3.67,0,0,20,7,0,0,0,4,27,6
